Stock,Year,"Cost of Revenue, Total",Inventories - Other,"Accounts Receivable - Trade, Net",Total Current Assets,Net Sales,Gross Revenue,Total Current Liabilities,Cash from Operating Activities,Total Liabilities,Total Equity,Net Income Incl Extra Before Distributions,Gross Profit,Operating Income,"Total Assets, Reported","Accounts Receivable - Trade, Net",Accounts Payable,Net Income Before Taxes,Interest Expense - Operating,"Interest Expense, Supplemental","Total Fixed Assets, Net",EBITDA,Cash from Investing Activities
TDC.HM,2018,1228416691450.00,2860678060.00,6.76913E+11,4.59097E+12,NULL,1.83403E+12,3.99941E+12,2.04158E+11,5.5597E+12,1.20158E+12,1.19663E+11,4.67585E+11,1.88202E+11,6.76128E+12,6.76913E+11,1.75327E+12,1.68406E+11,1.06522E+11,1.06522E+11,1770036290720.00,322306277780.00,-4768445270.00
TDC.HM,2019,1003107662050.00,619655740.00,4.921E+11,4.15091E+12,NULL,1.95645E+12,4.62143E+12,6.68083E+11,5.0655E+12,1.17905E+12,1.27423E+11,5.59535E+11,1.97696E+11,6.24456E+12,4.921E+11,1.75125E+12,1.9949E+11,2.01142E+11,2.01142E+11,1743808355190.00,407116249220.00,-28195458850.00
TDC.HM,2020,964817939450.00,-17492102910.00,3.85257E+11,2.72475E+12,NULL,1.72503E+12,3.43232E+12,3.65259E+11,4.42062E+12,1.25499E+12,1.94815E+11,6.31648E+11,2.58731E+11,5.6756E+12,3.85257E+11,1.65813E+12,2.64061E+11,1.27959E+11,1.27959E+11,2660549020710.00,465508559560.00,-26442432890.00
TDC.HM,2021,1064821180390.00,-7086686760.00,6.10588E+11,2.52787E+12,NULL,1.68516E+12,3.14933E+12,-43464899220,3.98901E+12,1.25078E+12,1.20773E+11,5.93386E+11,1.74064E+11,5.2398E+12,6.10588E+11,1.47431E+12,1.74465E+11,1.5461E+11,1.5461E+11,2474444244520.00,474249094170.00,-1146926730.00
TDC.HM,2022,2081382854060.00,404372015570.00,7.71934E+11,1.43752E+12,NULL,2.50022E+12,1.91355E+12,1.83176E+11,2.6421E+12,1.19566E+12,34954746670,4.06372E+11,29109207750,3.83776E+12,7.71934E+11,5.898E+11,84315044150,2.4707E+11,2.4707E+11,1848649174930.00,296222257840.00,91600200480.00
HTC.HN,2016,1228650000610.00,5731105270.00,2589373330,1.92576E+11,NULL,1.36902E+12,34272858610,22511218790,1.86321E+11,2.16537E+11,72664911580,1.40366E+11,98489670490,4.02857E+11,2589373330,6472645290,89496057540,12966390,12966390,210280927910.00,79501156560.00,-111558462400.00
HTC.HN,2017,1528210818880.00,3993883250.00,4409931920,1.75201E+11,NULL,1.63914E+12,1.30316E+11,-1.20191E+11,2.34948E+11,2.31648E+11,36889472950,1.10922E+11,45596332900,4.66596E+11,4409931920,7102205990,46435137070,2183942240,2183942240,276211811340.00,39765668810.00,27258926530.00
HTC.HN,2018,2323041796310.00,5902027210.00,55680465460,2.18357E+11,NULL,2.44849E+12,1.61482E+11,33147938450,3.11159E+11,2.48833E+11,40853023930,1.25444E+11,52558852350,5.59992E+11,55680465460,63290710950,52255489170,3775123570,3775123570,327137496020.00,52582373570.00,10036982420.00
HTC.HN,2019,1750472190240.00,7420939530.00,2459662680,1.35376E+11,NULL,1.8751E+12,57617723580,36032604760,2.14106E+11,2.62548E+11,38922099360,1.24629E+11,48481889690,4.76654E+11,2459662680,6583355230,48617860070,3611096590,3611096590,334029897330.00,43830507320.00,2298746140.00
HTC.HN,2020,1469609795830.00,5741587720.00,2294996560,1.38897E+11,NULL,1.59286E+12,90028399590,-2357708210,2.3906E+11,2.81228E+11,41265723140,1.2325E+11,49206305890,5.20288E+11,2294996560,10317422060,49439146270,2229304050,2229304050,374142693680.00,41746622960.00,-2044140030.00
